Timestamp,ADC Value,Conductance (µS)
2024-11-26 13:38:47.579223,208,1.4903624032526441
2024-11-26 13:38:48.579919,210,1.476168685128934
2024-11-26 13:38:49.580784,208,1.4903624032526441
2024-11-26 13:38:50.581354,218,1.4219981275495623
2024-11-26 13:38:51.581933,202,1.534629914095378
2024-11-26 13:38:52.582510,198,1.5656320532355303
2024-11-26 13:38:53.583093,195,1.5897183172985456
2024-11-26 13:38:54.583670,252,1.230143597439873
2024-11-26 13:38:55.584281,211,1.469172727794047
2024-11-26 13:38:56.584852,256,1.210922836481277
2024-11-26 13:38:57.585458,199,1.557764678037679
2024-11-26 13:38:58.586035,223,1.390115204676527
2024-11-26 13:38:59.586731,218,1.4219981275495623
2024-11-26 13:39:00.587771,224,1.3839094191107177
2024-11-26 13:39:01.588647,230,1.3478079208497624
2024-11-26 13:39:02.589214,245,1.2652901126557174
2024-11-26 13:39:03.589795,218,1.4219981275495623
2024-11-26 13:39:04.590376,220,1.4090710539987845
2024-11-26 13:39:05.590953,212,1.4622427690915845
2024-11-26 13:39:06.591527,207,1.497562113804093
2024-11-26 13:39:07.592132,210,1.476168685128934
2024-11-26 13:39:08.592706,235,1.319131534860604
2024-11-26 13:39:09.593326,208,1.4903624032526441
2024-11-26 13:39:10.593911,214,1.4485771467796495
2024-11-26 13:39:11.594567,216,1.4351645879156365
2024-11-26 13:39:12.595437,210,1.476168685128934
2024-11-26 13:39:13.596017,213,1.4553778794768717
2024-11-26 13:39:14.596592,236,1.313542067879617
2024-11-26 13:39:15.597090,212,1.4622427690915845
2024-11-26 13:39:16.597667,214,1.4485771467796495
2024-11-26 13:39:17.598306,202,1.534629914095378
2024-11-26 13:39:18.599129,208,1.4903624032526441
2024-11-26 13:39:19.599738,212,1.4622427690915845
2024-11-26 13:39:20.600365,236,1.313542067879617
2024-11-26 13:39:21.600982,214,1.4485771467796495
2024-11-26 13:39:22.601564,214,1.4485771467796495
2024-11-26 13:39:23.602156,215,1.4418396758000234
2024-11-26 13:39:24.602734,213,1.4553778794768717
2024-11-26 13:39:25.603308,209,1.4832315884309852
2024-11-26 13:39:26.604019,234,1.3247687744307663
2024-11-26 13:39:27.604600,215,1.4418396758000234
2024-11-26 13:39:28.605244,222,1.3963768974397206
2024-11-26 13:39:29.606070,219,1.4155050773253897
2024-11-26 13:39:30.606656,220,1.4090710539987845
2024-11-26 13:39:31.613061,225,1.3777587953232644
2024-11-26 13:39:32.613655,299,1.0367785484498322
2024-11-26 13:39:33.614253,174,1.781577454654544
2024-11-26 13:39:34.614834,149,2.080493627313794
2024-11-26 13:39:35.615411,143,2.167785173887839
2024-11-26 13:39:36.616059,114,2.719224301795302
2024-11-26 13:39:37.616639,253,1.2252814293579801
2024-11-26 13:39:38.617265,138,2.2463263506399493
2024-11-26 13:39:39.617951,103,3.009618157123427
2024-11-26 13:39:40.618783,86,3.6045212323741818
2024-11-26 13:39:41.619410,100,3.0999039029790074
2024-11-26 13:39:42.620196,110,2.8181023989323934
2024-11-26 13:39:43.620780,117,2.6495024490804093
2024-11-26 13:39:44.621361,164,1.8902081728942934
2024-11-26 13:39:45.621992,166,1.8674350057318212
2024-11-26 13:39:46.626923,138,2.2463263506399493
2024-11-26 13:39:47.627507,135,2.296243567740296
2024-11-26 13:39:48.628109,137,2.262722522337086
2024-11-26 13:39:49.628687,144,2.152731434253846
2024-11-26 13:39:50.629272,178,1.741542703469771
2024-11-26 13:39:51.634713,226,1.3716626010882154
2024-11-26 13:39:52.635922,151,2.0529379860413464
2024-11-26 13:39:53.636507,184,1.684754224249483
2024-11-26 13:39:54.639994,173,1.791875405700823
2024-11-26 13:39:55.641124,176,1.7613326128914777
2024-11-26 13:39:56.645478,178,1.741542703469771
2024-11-26 13:39:57.646113,211,1.469172727794047
2024-11-26 13:39:58.646958,151,2.0529379860413464
2024-11-26 13:39:59.647546,148,2.0945507222483855
2024-11-26 13:40:00.648170,149,2.080493627313794
2024-11-26 13:40:01.648815,153,2.0261027390948287
2024-11-26 13:40:02.649875,171,1.812832632858703
2024-11-26 13:40:03.650579,210,1.476168685128934
2024-11-26 13:40:04.651526,160,1.9374624616648055
2024-11-26 13:40:05.652155,187,1.6577265296671553
2024-11-26 13:40:06.652760,219,1.4155050773253897
2024-11-26 13:40:07.653342,197,1.5735792990059552
2024-11-26 13:40:08.653927,240,1.2916499828543881
2024-11-26 13:40:09.654767,257,1.2062111313054202
2024-11-26 13:40:10.656094,245,1.2652901126557174
2024-11-26 13:40:11.656680,248,1.2499843751953101
2024-11-26 13:40:12.657274,248,1.2499843751953101
2024-11-26 13:40:13.657864,250,1.2399846241906602
2024-11-26 13:40:14.658590,201,1.5422647710408448
2024-11-26 13:40:15.659294,256,1.210922836481277
2024-11-26 13:40:16.660109,157,1.9744833063805747
2024-11-26 13:40:17.664212,162,1.913543629720666
2024-11-26 13:40:18.664800,185,1.6756475972564784
2024-11-26 13:40:19.665386,192,1.6145572649608264
2024-11-26 13:40:20.665966,238,1.302504043014566
2024-11-26 13:40:21.666577,237,1.307999768779396
2024-11-26 13:40:22.667384,207,1.497562113804093
2024-11-26 13:40:23.667999,230,1.3478079208497624
2024-11-26 13:40:24.668584,226,1.3716626010882154
2024-11-26 13:40:25.669173,219,1.4155050773253897
2024-11-26 13:40:26.669763,234,1.3247687744307663
2024-11-26 13:40:27.670405,262,1.18319210726896
2024-11-26 13:40:28.671245,244,1.2704756619895405
2024-11-26 13:40:29.671829,239,1.2970543059901736
2024-11-26 13:40:30.672430,239,1.2970543059901736
2024-11-26 13:40:31.673019,238,1.302504043014566
2024-11-26 13:40:32.673697,209,1.4832315884309852
2024-11-26 13:40:33.674711,205,1.5121722549561447
2024-11-26 13:40:34.675482,148,2.0945507222483855
2024-11-26 13:40:35.676087,163,1.9018043215129041
2024-11-26 13:40:36.676672,168,1.8452040468300885
2024-11-26 13:40:37.677235,220,1.4090710539987845
2024-11-26 13:40:38.677817,191,1.6230103071625541
2024-11-26 13:40:39.678451,233,1.3304544016796345
2024-11-26 13:40:40.679246,187,1.6577265296671553
2024-11-26 13:40:41.679834,196,1.5816076378383814
2024-11-26 13:40:42.680435,192,1.6145572649608264
2024-11-26 13:40:43.681018,197,1.5735792990059552
2024-11-26 13:40:44.681604,206,1.5048317234061044
2024-11-26 13:40:45.682231,245,1.2652901126557174
2024-11-26 13:40:46.683030,196,1.5816076378383814
2024-11-26 13:40:47.683620,223,1.390115204676527
2024-11-26 13:40:48.684426,195,1.5897183172985456
2024-11-26 13:40:49.685416,179,1.7318135831167172
2024-11-26 13:40:50.686194,214,1.4485771467796495
2024-11-26 13:40:51.686939,218,1.4219981275495623
2024-11-26 13:40:52.687951,216,1.4351645879156365
2024-11-26 13:40:53.688543,163,1.9018043215129041
2024-11-26 13:40:54.689134,188,1.6489089807561685
2024-11-26 13:40:55.689722,209,1.4832315884309852
2024-11-26 13:40:56.690371,214,1.4485771467796495
2024-11-26 13:40:57.690999,533,0.581610125719719
2024-11-26 13:40:58.691792,560,0.5535683641751269
2024-11-26 13:40:59.692403,213,1.4553778794768717
2024-11-26 13:41:00.692988,274,1.1313740610963892
2024-11-26 13:41:01.693574,286,1.0839043353026594
2024-11-26 13:41:02.694159,295,1.0508364149393685
2024-11-26 13:41:03.694804,312,0.9935798714820462
2024-11-26 13:41:04.695580,218,1.4219981275495623
2024-11-26 13:41:05.696191,219,1.4155050773253897
2024-11-26 13:41:06.696783,218,1.4219981275495623
2024-11-26 13:41:07.697537,216,1.4351645879156365
2024-11-26 13:41:08.698185,247,1.255044977168303
2024-11-26 13:41:09.698827,316,0.9810030344639024
2024-11-26 13:41:10.699616,229,1.353693465284968
2024-11-26 13:41:11.700229,215,1.4418396758000234
2024-11-26 13:41:12.700819,221,1.4026952563108845
2024-11-26 13:41:13.701401,220,1.4090710539987845
2024-11-26 13:41:14.701985,228,1.3596306366009936
2024-11-26 13:41:15.702576,247,1.255044977168303
2024-11-26 13:41:16.703175,224,1.3839094191107177
2024-11-26 13:41:17.703765,254,1.2204575455968845
2024-11-26 13:41:18.704385,227,1.3656201170821018
2024-11-26 13:41:19.705568,221,1.4026952563108845
2024-11-26 13:41:20.706531,219,1.4155050773253897
2024-11-26 13:41:21.707716,240,1.2916499828543881
2024-11-26 13:41:22.708488,215,1.4418396758000234
2024-11-26 13:41:23.709077,187,1.6577265296671553
2024-11-26 13:41:24.709660,218,1.4219981275495623
2024-11-26 13:41:25.710247,223,1.390115204676527
2024-11-26 13:41:26.710832,213,1.4553778794768717
2024-11-26 13:41:27.711455,264,1.1742286359516234
2024-11-26 13:41:28.712129,211,1.469172727794047
2024-11-26 13:41:29.712749,209,1.4832315884309852
2024-11-26 13:41:30.713355,203,1.5270702762667174
2024-11-26 13:41:31.713942,203,1.5270702762667174
2024-11-26 13:41:32.714561,207,1.497562113804093
2024-11-26 13:41:33.715313,230,1.3478079208497624
2024-11-26 13:41:34.716143,206,1.5048317234061044
2024-11-26 13:41:35.716705,204,1.5195847514081897
2024-11-26 13:41:36.717286,205,1.5121722549561447
